
=== Sensor Logging Session Started at 2025-08-26 18:30:34.826 ===
2025-08-26 18:47:11.540 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.591 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.642 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.648 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.701 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.754 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.811 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.857 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.907 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.958 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:11.974 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.025 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.077 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.128 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.182 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.233 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.284 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.292 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.346 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.392 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.445 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.497 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.503 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.557 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.609 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.619 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.671 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.721 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.773 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.825 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.839 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.891 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.943 - Sensor: speed, Value: 2, Old Value: 1, Critical: Yes
2025-08-26 18:47:12.945 - Sensor: odo, Value: 2, Old Value: 1, Critical: No
2025-08-26 18:47:12.996 - Sensor: speed, Value: 2, Old Value: 1, Critical: Yes
2025-08-26 18:47:13.049 - Sensor: odo, Value: 2, Old Value: 1, Critical: No
2025-08-26 18:47:13.051 - Sensor: speed, Value: 2, Old Value: 1, Critical: Yes
2025-08-26 18:47:13.102 - Sensor: speed, Value: 2, Old Value: 1, Critical: Yes
2025-08-26 18:47:13.155 - Sensor: speed, Value: 2, Old Value: 1, Critical: Yes
2025-08-26 18:47:13.160 - Sensor: odo, Value: 2, Old Value: 1, Critical: No
2025-08-26 18:47:13.161 - Sensor: speed, Value: 2, Old Value: 1, Critical: Yes
2025-08-26 18:47:13.212 - Sensor: speed, Value: 2, Old Value: 1, Critical: Yes
2025-08-26 18:47:13.265 - Sensor: speed, Value: 2, Old Value: 1, Critical: Yes
2025-08-26 18:47:13.270 - Sensor: speed, Value: 2, Old Value: 1, Critical: Yes
2025-08-26 18:47:13.271 - Sensor: odo, Value: 2, Old Value: 1, Critical: No
2025-08-26 18:47:13.321 - Sensor: speed, Value: 2, Old Value: 1, Critical: Yes
2025-08-26 18:47:13.372 - Sensor: speed, Value: 2, Old Value: 1, Critical: Yes
2025-08-26 18:47:13.378 - Sensor: odo, Value: 2, Old Value: 1, Critical: No
2025-08-26 18:47:13.383 - Sensor: speed, Value: 2, Old Value: 1, Critical: Yes
2025-08-26 18:47:13.434 - Sensor: speed, Value: 2, Old Value: 1, Critical: Yes
2025-08-26 18:47:13.485 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:13.495 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:13.552 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:13.596 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:13.648 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:13.704 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:13.755 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:13.807 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:13.817 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:13.872 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:13.923 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:13.925 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:13.976 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:14.031 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:14.036 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:14.087 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:14.138 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:14.142 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:14.193 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:14.244 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:14.251 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:14.303 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:14.354 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:14.371 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:14.423 - Sensor: speed, Value: 1, Old Value: 2, Critical: Yes
2025-08-26 18:47:15.012 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:15.025 - Sensor: odo, Value: 3, Old Value: 2, Critical: No
2025-08-26 18:47:15.026 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:15.078 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:15.130 - Sensor: odo, Value: 3, Old Value: 2, Critical: No
2025-08-26 18:47:15.131 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:15.182 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:15.235 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:15.238 - Sensor: odo, Value: 3, Old Value: 2, Critical: No
2025-08-26 18:47:15.289 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:15.340 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:15.346 - Sensor: odo, Value: 3, Old Value: 2, Critical: No
2025-08-26 18:47:15.348 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:15.399 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:15.450 - Sensor: speed, Value: 4, Old Value: 3, Critical: Yes
2025-08-26 18:47:15.453 - Sensor: speed, Value: 4, Old Value: 3, Critical: Yes
2025-08-26 18:47:15.503 - Sensor: speed, Value: 4, Old Value: 3, Critical: Yes
2025-08-26 18:47:15.554 - Sensor: speed, Value: 4, Old Value: 3, Critical: Yes
2025-08-26 18:47:15.562 - Sensor: speed, Value: 4, Old Value: 3, Critical: Yes
2025-08-26 18:47:15.612 - Sensor: speed, Value: 4, Old Value: 3, Critical: Yes
2025-08-26 18:47:15.664 - Sensor: speed, Value: 4, Old Value: 3, Critical: Yes
2025-08-26 18:47:15.680 - Sensor: speed, Value: 4, Old Value: 3, Critical: Yes
2025-08-26 18:47:15.736 - Sensor: speed, Value: 4, Old Value: 3, Critical: Yes
2025-08-26 18:47:15.784 - Sensor: speed, Value: 4, Old Value: 3, Critical: Yes
2025-08-26 18:47:15.834 - Sensor: speed, Value: 4, Old Value: 3, Critical: Yes
2025-08-26 18:47:15.887 - Sensor: speed, Value: 4, Old Value: 3, Critical: Yes
2025-08-26 18:47:15.890 - Sensor: speed, Value: 4, Old Value: 3, Critical: Yes
2025-08-26 18:47:15.940 - Sensor: speed, Value: 4, Old Value: 3, Critical: Yes
2025-08-26 18:47:15.991 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:15.992 - Sensor: odo, Value: 4, Old Value: 3, Critical: No
2025-08-26 18:47:15.992 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.043 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.094 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.104 - Sensor: odo, Value: 4, Old Value: 3, Critical: No
2025-08-26 18:47:16.106 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.157 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.208 - Sensor: odo, Value: 4, Old Value: 3, Critical: No
2025-08-26 18:47:16.212 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.263 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.312 - Sensor: odo, Value: 4, Old Value: 3, Critical: No
2025-08-26 18:47:16.313 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.365 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
