
=== Sensor Logging Session Started at 2025-08-21 19:20:52.596 ===
2025-08-21 19:40:10.688 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:10.738 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:10.738 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:10.740 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:10.791 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:10.792 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:10.842 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:10.843 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:10.844 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:10.894 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:10.895 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:10.945 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:10.945 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:10.945 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:10.997 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:10.998 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.047 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:11.048 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.049 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.100 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.102 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.149 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:11.151 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.153 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.205 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.207 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.252 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:11.253 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.253 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.304 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.305 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.354 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:11.355 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.356 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.406 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.406 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.456 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.457 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.457 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:11.507 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.507 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.558 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.558 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.563 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:11.563 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.564 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.616 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.617 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.665 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:11.665 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.665 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.716 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.716 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.767 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.769 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.773 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:11.773 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.774 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.825 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.825 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.876 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:11.878 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.878 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.929 - Sensor: speed, Value: 245, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.929 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:11.978 - Sensor: odo, Value: 3, Old Value: 6, Critical: No
2025-08-21 19:40:11.979 - Sensor: speed, Value: 66, Old Value: 245, Critical: Yes
2025-08-21 19:40:11.979 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:12.030 - Sensor: speed, Value: 66, Old Value: 245, Critical: Yes
2025-08-21 19:40:12.031 - Sensor: distance, Value: 100, Old Value: 0, Critical: Yes
2025-08-21 19:40:12.082 - Sensor: speed, Value: 66, Old Value: 245, Critical: Yes
2025-08-21 19:40:12.082 - Sensor: odo, Value: 3, Old Value: 6, Critical: No
2025-08-21 19:40:12.132 - Sensor: speed, Value: 66, Old Value: 245, Critical: Yes
2025-08-21 19:40:12.183 - Sensor: speed, Value: 66, Old Value: 245, Critical: Yes
2025-08-21 19:40:12.184 - Sensor: speed, Value: 66, Old Value: 245, Critical: Yes
2025-08-21 19:40:12.185 - Sensor: odo, Value: 3, Old Value: 6, Critical: No
2025-08-21 19:40:12.235 - Sensor: speed, Value: 66, Old Value: 245, Critical: Yes
2025-08-21 19:40:12.287 - Sensor: speed, Value: 66, Old Value: 245, Critical: Yes
2025-08-21 19:40:12.291 - Sensor: odo, Value: 3, Old Value: 6, Critical: No
2025-08-21 19:40:12.292 - Sensor: speed, Value: 66, Old Value: 245, Critical: Yes
2025-08-21 19:40:12.343 - Sensor: speed, Value: 66, Old Value: 245, Critical: Yes
2025-08-21 19:40:12.394 - Sensor: speed, Value: 66, Old Value: 245, Critical: Yes
2025-08-21 19:40:12.396 - Sensor: odo, Value: 3, Old Value: 6, Critical: No
2025-08-21 19:40:12.449 - Sensor: speed, Value: 66, Old Value: 245, Critical: Yes
2025-08-21 19:40:12.497 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:12.497 - Sensor: speed, Value: 235, Old Value: 66, Critical: Yes
2025-08-21 19:40:12.548 - Sensor: speed, Value: 235, Old Value: 66, Critical: Yes
2025-08-21 19:40:12.598 - Sensor: speed, Value: 235, Old Value: 66, Critical: Yes
2025-08-21 19:40:12.601 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:12.601 - Sensor: speed, Value: 235, Old Value: 66, Critical: Yes
2025-08-21 19:40:12.652 - Sensor: speed, Value: 235, Old Value: 66, Critical: Yes
2025-08-21 19:40:12.702 - Sensor: speed, Value: 235, Old Value: 66, Critical: Yes
2025-08-21 19:40:12.704 - Sensor: speed, Value: 235, Old Value: 66, Critical: Yes
2025-08-21 19:40:12.705 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:12.756 - Sensor: speed, Value: 235, Old Value: 66, Critical: Yes
2025-08-21 19:40:12.807 - Sensor: speed, Value: 235, Old Value: 66, Critical: Yes
2025-08-21 19:40:12.809 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:12.809 - Sensor: speed, Value: 235, Old Value: 66, Critical: Yes
2025-08-21 19:40:12.860 - Sensor: speed, Value: 235, Old Value: 66, Critical: Yes
2025-08-21 19:40:12.911 - Sensor: odo, Value: 6, Old Value: 3, Critical: No
2025-08-21 19:40:12.913 - Sensor: speed, Value: 235, Old Value: 66, Critical: Yes
2025-08-21 19:40:12.964 - Sensor: speed, Value: 235, Old Value: 66, Critical: Yes
2025-08-21 19:40:13.014 - Sensor: odo, Value: 9, Old Value: 6, Critical: No
2025-08-21 19:40:13.014 - Sensor: speed, Value: 213, Old Value: 235, Critical: Yes
2025-08-21 19:40:13.065 - Sensor: speed, Value: 213, Old Value: 235, Critical: Yes
2025-08-21 19:40:13.117 - Sensor: speed, Value: 213, Old Value: 235, Critical: Yes
2025-08-21 19:40:13.120 - Sensor: odo, Value: 9, Old Value: 6, Critical: No
2025-08-21 19:40:13.170 - Sensor: speed, Value: 213, Old Value: 235, Critical: Yes
2025-08-21 19:40:13.221 - Sensor: speed, Value: 213, Old Value: 235, Critical: Yes
2025-08-21 19:40:13.223 - Sensor: odo, Value: 9, Old Value: 6, Critical: No
2025-08-21 19:40:13.224 - Sensor: speed, Value: 213, Old Value: 235, Critical: Yes
2025-08-21 19:40:13.274 - Sensor: speed, Value: 213, Old Value: 235, Critical: Yes
2025-08-21 19:40:13.325 - Sensor: speed, Value: 213, Old Value: 235, Critical: Yes
2025-08-21 19:40:13.329 - Sensor: speed, Value: 213, Old Value: 235, Critical: Yes
2025-08-21 19:40:13.329 - Sensor: odo, Value: 9, Old Value: 6, Critical: No
2025-08-21 19:40:13.380 - Sensor: speed, Value: 213, Old Value: 235, Critical: Yes
2025-08-21 19:40:13.430 - Sensor: speed, Value: 175, Old Value: 213, Critical: Yes
2025-08-21 19:40:13.433 - Sensor: odo, Value: 12, Old Value: 9, Critical: No
2025-08-21 19:40:13.434 - Sensor: speed, Value: 175, Old Value: 213, Critical: Yes
2025-08-21 19:40:13.484 - Sensor: speed, Value: 175, Old Value: 213, Critical: Yes
2025-08-21 19:40:13.534 - Sensor: speed, Value: 175, Old Value: 213, Critical: Yes
2025-08-21 19:40:13.536 - Sensor: odo, Value: 12, Old Value: 9, Critical: No
2025-08-21 19:40:13.536 - Sensor: speed, Value: 175, Old Value: 213, Critical: Yes
2025-08-21 19:40:13.587 - Sensor: speed, Value: 175, Old Value: 213, Critical: Yes
2025-08-21 19:40:13.637 - Sensor: speed, Value: 175, Old Value: 213, Critical: Yes
2025-08-21 19:40:13.639 - Sensor: odo, Value: 12, Old Value: 9, Critical: No
2025-08-21 19:40:13.640 - Sensor: speed, Value: 175, Old Value: 213, Critical: Yes
2025-08-21 19:40:13.691 - Sensor: speed, Value: 175, Old Value: 213, Critical: Yes
2025-08-21 19:40:13.741 - Sensor: odo, Value: 12, Old Value: 9, Critical: No
2025-08-21 19:40:13.742 - Sensor: speed, Value: 175, Old Value: 213, Critical: Yes
2025-08-21 19:40:13.793 - Sensor: speed, Value: 175, Old Value: 213, Critical: Yes
2025-08-21 19:40:13.844 - Sensor: speed, Value: 175, Old Value: 213, Critical: Yes
2025-08-21 19:40:13.847 - Sensor: odo, Value: 12, Old Value: 9, Critical: No
2025-08-21 19:40:13.848 - Sensor: speed, Value: 175, Old Value: 213, Critical: Yes
2025-08-21 19:40:13.899 - Sensor: speed, Value: 175, Old Value: 213, Critical: Yes
2025-08-21 19:40:13.949 - Sensor: speed, Value: 154, Old Value: 175, Critical: Yes
2025-08-21 19:40:13.953 - Sensor: odo, Value: 14, Old Value: 12, Critical: No
2025-08-21 19:40:13.953 - Sensor: speed, Value: 154, Old Value: 175, Critical: Yes
2025-08-21 19:40:14.004 - Sensor: speed, Value: 154, Old Value: 175, Critical: Yes
2025-08-21 19:40:14.055 - Sensor: speed, Value: 154, Old Value: 175, Critical: Yes
2025-08-21 19:40:14.057 - Sensor: odo, Value: 14, Old Value: 12, Critical: No
2025-08-21 19:40:14.057 - Sensor: speed, Value: 154, Old Value: 175, Critical: Yes
2025-08-21 19:40:14.109 - Sensor: speed, Value: 154, Old Value: 175, Critical: Yes
2025-08-21 19:40:14.159 - Sensor: odo, Value: 14, Old Value: 12, Critical: No
2025-08-21 19:40:14.160 - Sensor: speed, Value: 154, Old Value: 175, Critical: Yes
2025-08-21 19:40:14.211 - Sensor: speed, Value: 154, Old Value: 175, Critical: Yes
2025-08-21 19:40:14.262 - Sensor: speed, Value: 154, Old Value: 175, Critical: Yes
2025-08-21 19:40:14.264 - Sensor: odo, Value: 14, Old Value: 12, Critical: No
2025-08-21 19:40:14.314 - Sensor: speed, Value: 154, Old Value: 175, Critical: Yes
2025-08-21 19:40:14.365 - Sensor: speed, Value: 154, Old Value: 175, Critical: Yes
2025-08-21 19:40:14.367 - Sensor: speed, Value: 154, Old Value: 175, Critical: Yes
2025-08-21 19:40:14.367 - Sensor: odo, Value: 14, Old Value: 12, Critical: No
2025-08-21 19:40:14.418 - Sensor: speed, Value: 154, Old Value: 175, Critical: Yes
